recipe_id,recipe_name,location
1714414,"Chicken fajitas, smoky dressed aubergines & peppers",Mexico
2159890,Chocolate and raspberry terrine,
909867,Courgette tart with roasted tomato coulis,
769307,Radicchio risotto,
1714997,"Sag aloo korma, sweet potatoes, chard & chickpeas",India
909808,Smoked salmon cheesecake with lemon vodka,
1715811,"Super leek & potato soup, herb, Parmesan & almond toasts",
1714989,"Super salad platter, avo, sweet potatoes, broccoli & beets",
1716074,"Super-quick batch pesto, nuts, Parmesan & loadsa basil",
2023433,Sweet and salty cheesecake with cherries,
903130,Wholemeal loaf,
1531584,Crunchy chicken cutlets,
2023151,Hot charred cherry tomatoes with cold yoghurt,
1531561,Indian-spiced cod,India
1532408,Leek pasta bake,
1715304,"Persian veggie pilaf, saffron, blueberries & borlotti beans",Iran
1532453,Quick coconutty dal,
1532409,Slow-cooker chickpeas with cumin and spinach,
1164089,Chicken & chorizo paella,Spain
1635114,Red beet gnocchi with Parmesan and parsley sauce (Gnocchi aux betteraves rouges avec sauce au Parmesan et au persil),France
1635114,Red beet gnocchi with Parmesan and parsley sauce (Gnocchi aux betteraves rouges avec sauce au Parmesan et au persil),Italy
1048199,Aubergine lasagne,Italy
769694,Little custards flavored with cardamom and vanilla (Petits pots de crème),France
1635112,"Pea risotto with lemon, basil oil, and steamed lobster (Risotto aux petits pois et au citron avec huile au basilic et homard vapeur)",France
1531586,Strapatsada,Greece
937764,"Veggie chilli, crunchy tortilla & avocado salad",Chile
937764,"Veggie chilli, crunchy tortilla & avocado salad",United States of America
377500,White chocolate and raspberry tartlets,
1855630,"""Anzac"" biscuits (aka honey, oat and raisin cookies)",Australia
1855630,"""Anzac"" biscuits (aka honey, oat and raisin cookies)",New Zealand
377465,Apple and olive oil cake with maple icing,
377464,Cheddar and caraway cheese straws,
1666917,Chicken & black bean chowder,United States of America
1666917,Chicken & black bean chowder,Brazil
1855629,Chocolate and peanut butter s'mores,
1852863,Comforting sausage bake,
1524554,"Cosy squash soup, chickpea salad flatbreads",
1524735,"Delicious squash daal, special fried eggs & poppadoms",India
1852578,Easy sausage carbonara,Italy
1852598,Hot-smoked salmon frittata,
1062080,Incredible Sicilian aubergine stew (Caponata),Italy
1852968,Mango rice pudding,
25106,Mughlai chicken,India
1852726,One-pan fabulous fish,
36483,Pizza rustica,Italy
2159990,Spicy chorizo and squash parcels,
1524544,"Super green soup, chickpeas, veg & smoky chorizo",
1524474,"Sweet potato muffins, chilli, cheese & seeds",
1855730,"Tin cake pan part 1 (butternut, honey and almond)",
928856,Baby spinach salad with dates & almonds,Israel
928929,Basmati rice & orzo,Israel
929144,Beef meatballs with broad beans & lemon,Israel
929169,Cod cakes in tomato sauce,Israel
929169,Cod cakes in tomato sauce,Syria
377418,"Harira (lamb, chickpeas and spinach)",Morocco
1875557,"One-pot orzo with beetroot, thyme and orange",
455410,Pappardelle with butternut and blue cheese,
1855794,Pineapple and star anise chiffon cake,
929185,Red pepper & baked egg galettes,Israel
1341688,Roast pumpkin & spinach lasagne,Italy
1852603,Roast tikka chicken,India
1532411,Slow-cooker Cuban black beans,Cuba
455342,South Indian vegetable curry,India
1524750,"Super squash lasagne, spinach, cottage cheese & seeds",Italy
1855651,Tahini and halva brownies,
938123,"Tasty daal curry, warm tomato salad & naan",India
928944,Watercress & chickpea soup with rose water & ras el hanout,Israel
928932,Barley risotto with marinated feta,Israel
928899,Butternut squash & tahini spread,Israel
928933,"Conchiglie with yoghurt, peas & chilli",Israel
1856130,Hot chocolate and lime puddings,
1856083,Little baked chocolate tarts with tahini and sesame brittle,
2440060,Muhammara,Israel
2440060,Muhammara,Iran
1855636,Not-quite-Bonnie's rugelach,Israel
1520737,Pastitsio,Greece
928893,Roasted cauliflower & hazelnut salad,Israel
1856110,Rolled Pavlova with peaches and blackberries,Australia
1856110,Rolled Pavlova with peaches and blackberries,New Zealand
928915,Sabih,Iraq
928915,Sabih,Israel
1855641,"Saffron, orange and honey madeleines",France
929146,Turkey & zucchini burgers with spring onion & cumin,Israel
2351132,Unbelievable Provençal bake,France
1531552,Cauliflower and cashew nut curry,Thailand
1531552,Cauliflower and cashew nut curry,India
1531937,Chicken and wild rice,
1855632,"Chocolate ""O"" cookies",
1855616,"Cranberry, oat and white chocolate biscuits",
2023132,"Curried lentil, tomato and coconut soup",
1532448,Purple sprouting broccoli with clementine and chilli,
929067,Ruth's stuffed Romano peppers,Israel
1531879,"Split pea soup with chilli, ginger and lime",
1714411,"Super shepherd's pie, smashed neeps & tatties",United Kingdom
1533061,Toasty olive oil granola,
974091,Turkey and sweet leek pie,
1856074,White chocolate cheesecake with cranberry compote,
1531981,"Beef chilli with bourbon, beer and black beans",Chile
1531981,"Beef chilli with bourbon, beer and black beans",United States of America
1860750,"Black-eyed bean salad with diced peppers, spring onions, dill & parsley",Israel
1866416,Bulgar wheat with flaked almonds and nigella seeds,
1866068,Butternut and sweet potato curry,India
1866204,Chicken with red grapes and Marsala,
1866176,Couscous with pine nuts and dill,
1531898,Fish tacos,Mexico
1866693,Ginger and walnut carrot cake,
1855743,Lemon and blackcurrant stripe cake,
1865626,Meatballs with orzo,
1866141,Moroccan vegetable pot,Morocco
1866060,Mung bean dal with mint and coriander raita,India
1861120,Orzo & tomato salad with capers & Kalamata olives,Israel
929511,Quick Calabrian lasagne,Italy
1860747,Roasted cod loins with wild thyme & pul biber,Israel
1884852,Savoury Gruyere and pumpkin pie,
230859,Slow-roasted garlic and lemon chicken,
1862006,Spicy beef noodles with green beans,Israel
1860751,"Spicy chickpea, harissa & cheddar pittas",Israel
1860755,Spicy halloumi salad with tomatoes & fried bread,Israel
36482,Supper onion pie,
1866177,Sweet potato tacos with avocado and coriander sauce and a tomato and pear relish,Mexico
455373,Thai chicken noodle soup,Thailand
1866061,Turmeric rice with cardamom and cumin,India
1861126,Yogurt & harissa marinated chicken,Israel
1374179,Beetroot houmous with za'atar sprinkle,Israel
1531548,Brocamole,
1861119,"Brown rice salad with olives, preserved lemons & apricots",Israel
1855802,Celebration cake,
1866208,Chicken barley,
1531923,Chicken Cosima,
1866433,Cumberland sausage with apples and onions,
1855647,Lemon and raspberry cupcakes,
2163847,Pea and leek soup with basil oil,
1635115,Saffron-flavored carrot risotto with bay scallops and pistachios (Risotto à la carotte et au safran avec coquilles St. Jacques et pistaches),France
1532412,Slow-cooker beef and Guinness stew with prunes and black treacle,
1532415,Slow-cooker Moroccan chicken stew,Morocco
1531599,Sweet potato macaroni cheese,
398005,Two-potato vindaloo,India
1524933,"Chicken & squash cacciatore, mushrooms, tomatoes, olives, bread",Italy
1524505,"Happiness pasta, sweet tomato, aubergine & ricotta",
1866411,Lamb kofta with garlic sauce,Italy
1866421,"Pork with prunes, olives and capers",
2159735,Roasted garlic herb twist,
1343040,Snake-like börek (Ispanaklı börek),Turkey
1343134,Stewed chickpeas (Nohut yemeği),Turkey
1855770,Take-home chocolate cake,
929061,Turnip & veal 'cake',Israel
1856135,Yoghurt panna cotta with basil and crushed strawberries,Italy
1518261,Black-eyed beans with chard and green herb smash,
1866070,Garlic and Parmesan mash,
1517778,Gently spiced sweet potato and quinoa bowls,
1518497,Lentil ragù,Italy
1531962,Massaman beef curry,Thailand
929505,Pasta with courgettes,Italy
1716894,"Ratatouille pie, filo, ricotta, basil & almonds",
1343154,Red lentil and bulgur soup (Mercimek çorbası),Turkey
1518512,"Roasted coconut, lime and tamarind curry",Asia
1518296,Spinach and lemon polpette,Italy
1374186,Braised peas and carrots with mint butter,
1518510,Butternut and cannellini gratin,
1518288,Charred mushroom and cashew pizza,
1513386,"Cheese, ham & chive tart",
1518509,Frying pan squash and cavolo nero pie,
1517847,Green pea and coconut soup,
1962057,Herby cabbage and potato gratin with Gruyère and ricotta,
1866207,Indian-spiced chicken and potato traybake,India
1716071,"Jumbo fish fingers, golden crispy breadcrumbs",
1962056,Pasta and butternut squash cake,
1513383,Roast vegetable & goat's cheese torte,
377503,Semolina and raspberry tart,
1374185,Shepherd's pie with cheese champ topping,United Kingdom
1374185,Shepherd's pie with cheese champ topping,Ireland
1354161,Baked orzo with mozzarella and oregano,
1714821,"Chopped charred veg salad, couscous, wraps, feta, mint, nuts & seeds",
1989708,Courgette and herb filo pie with feta and cheddar,Greece
1852710,Crazy simple fish pie,
1219670,Goat-herd pie,United Kingdom
1987170,Harissa-spiced savoury cake with tuna,
1715342,"Jool's tuna pasta bake, sweet leeks, fennel & tomatoes",
398033,Mixed vegetable paella,Spain
1518304,Mung bean dhal,India
1518302,Parsnip rösti supper,Switzerland
1218753,"Pork, apple & cider pie",
936415,"Turkish flats, shred salad, feta & herbs",Turkey
1524757,"Veggie ramen, walnut miso, kimchee & fried eggs",South Korea
1353547,Alphonso mango and curried chickpea salad,
2043729,Avocado pasta with peas and mint,
1353526,Brussels sprout risotto,
1354144,Cauliflower cake,
1855650,Chocolate and chestnut powder puffs,
36504,Chocolate macaroons,
455361,Chorizo and chickpea stew,
36487,Courgette and chick pea filo pie,
2043744,Creamy mash with tomato soup,
1987159,Jewelled giant couscous with raisins and lemon,
398104,Lemon and aubergine risotto,
455314,Lemony salmon with cherry tomato couscous,
1987164,Marinated sandwich vegetables,
929182,Marinated sweet & sour fish,Israel
455306,Mexican lasagne with avocado salsa,Mexico
2043470,Niçoise bake,France
1353510,Rice salad with nuts and sour cherries,
1354166,Root vegetable pies,
1353521,Sprouting broccoli and edamame salad with curry leaves and coconut,
377459,Sweet potato galettes,
1354159,Tomato and almond tart,France
2023435,Vanilla custard with roasted strawberries and rhubarb,
455382,Baked egg custard,
928949,Burnt aubergine & mograbieh soup,Israel
1509873,Chocolate stars,Italy
2159653,Coconut macaroon kisses,France
1353943,Courgette 'baba ganoush',Israel
1354139,Crespéou,France
455275,Crustless pizza,
455364,"Curly pasta with feta, spinach, and pine nuts",
455295,Korean keema,South Korea
377512,Lemon curd,
455375,Maple pecan bundt cake,
455350,No-fuss fruit tart,
1855635,Pecan snowballs,
1856082,Rhubarb and blueberry galette,France
1374367,Slow-braised beef cheeks with pappardelle,Italy
1353564,Slow-cooked chickpeas on toast with poached egg,
1353523,Sprouting broccoli with sweet tahini,Japan
455296,Sunshine soup,
1533065,"Sweet potato, black bean and avocado burrito",Mexico
1353525,Tagliatelle with walnuts and lemon,
593073,Tomato and corn pie,
455282,Turkey meatballs in tomato sauce,
2023127,"Watermelon, green apple and lime salad",
2014699,Acquacotta,Italy
2023114,"Beetroot, caraway and goat's cheese bread",
2014700,Borlotti bean soup,Italy
2023108,Braised eggs with leek and za'atar,
2023463,Brunsli chocolate cookies,Switzerland
2023246,"Bulgur with tomato, aubergine and lemon yoghurt",
2023197,Butterbean mash with muhammara,Israel
1353505,"Caramelised fig, orange and feta salad",Spain
2023419,Chilli fish with tahini,
2023124,Chopped salad with tahini and za'atar,
2023244,"Couscous, cherry tomato and herb salad",
2023259,Gigli with chickpeas and za'atar,Italy
2023453,Honey and yoghurt set cheesecake,
2023235,Jacket potatoes with egg and tonnato sauce,
928938,Mejadra,Israel
1354145,Membrillo and Stilton quiche,
455369,My mother's praised chicken,
2023461,"Nutella, sesame and hazelnut rolls",
2023260,"Orzo with prawns, tomato and marinated feta",Italy
2023258,"Pappardelle with rose harissa, black olives and capers",Italy
1353493,"Parsley, lemon and cannellini bean salad",Italy
1715314,"Pork meatballs, sweet onion & apple gravy, bread buns",
2023134,"Pumpkin, saffron and orange soup",
2023245,Puy lentil and aubergine stew,
2023223,Roasted butternut squash with lentils and Dolcelatte,
928849,Roasted sweet potatoes & fresh figs,Israel
2023413,Slow-cooked chicken with a crisp corn crust,
1513359,Somerset apple tarts,United Kingdom
1353479,Sort-of-Waldorf,United States of America
2023403,Spiced 'shepherd's pie' with butterbean crust,United Kingdom
2023403,Spiced 'shepherd's pie' with butterbean crust,Morocco
2023233,Spinach and Gorgonzola-stuffed jacket potatoes,
2023152,"Tomato, chard and spinach with toasted almonds",
2012503,Veggie al forno,Italy
2014693,Amazing sweet peppers,Italy
2023113,Avocado butter on toast with tomato salsa,
2015391,Baked risotto pie,Italy
2023213,Brussels sprouts with burnt butter and black garlic,
2023176,Cavolo nero with chorizo and preserved lemon,
1855766,"Coconut, almond and blueberry cake",
2023115,"Cornbread with cheddar, feta and jalapeño",
1353487,Fig salad,
2023109,Harissa and Manchego omelettes,
2015072,Lasagne,Italy
1856073,Lime meringue cheesecakes,
2014691,Matera salad,Italy
2023185,Mustardy cauliflower cheese,
2015891,Neapolitan pizza base,Italy
2023256,Pasta alla Norma,Italy
2023229,Roasted beetroot with yoghurt and preserved lemon,
1524753,"Smoky veggie feijoada, black beans, squash, peppers & okra",Brazil
2023254,"Soba noodles with lime, cardamom and avocado",Japan
455279,Sweet and sour chicken,China
2015064,Tuna fettuccine,Italy
455298,Vietnamese pork noodle soup,Vietnam
2023252,Baked rice with confit tomatoes and garlic,
1856076,Baked ricotta and hazelnut cheesecake,
2023417,Bridget Jones's pan-fried salmon with pine nut salsa,
1353527,Legume (noodle) soup,Iran
2023406,Ricotta and oregano meatballs,
2023412,Seeded chicken schnitzel,
2023239,Sweet potato chips,
769354,"White lentil soup with chorizo, poached eggs, and paprika cream",
1860596,"Cheddar & feta frittata with peppers, herbs & pul biber",Israel
1715301,"Giant meatballs, sweet tomato & jalapeño sauce",
1856159,Pecan and Prosecco truffles,
2015060,Sausage stracci,Italy
1517787,Smokey pepper and white bean quesadillas,Mexico
25244,South Beach black bean soup,Cuba
2023231,Aromatic olive oil mash,
377469,Carrot and walnut cake,
2023409,Chicken Marbella,United States of America
2079233,Crispy couscous with pumpkin and tomatoes,
2023154,"Fried broccoli and kale with garlic, cumin and lime",
1103663,Griddled vegetables and feta with tabbouleh,
926632,Incredible leftover lasagne,Italy
866276,Pepper & noodle salad,
1524542,"Roasted sweet potatoes, black beans & jalapeño tomato salsa",
1353953,Squash with cardamom and nigella seeds,
1524550,"Tasty veg omelette, raw tomato & chilli sauce",
1353542,Thai red lentil soup with aromatic chilli oil,Thailand
1084435,"Tomato, red wine and chorizo risotto",
1518514,A modern moussaka,Greece
1354140,Aubergine kuku,
398015,Caramelized garlic tart,
398118,Green couscous,
1509690,Malted milk chocolate cake,
398037,Shakshuka,Morocco
1532406,Slow-cooked black treacle ham,
398049,Soba noodles with aubergine and mango,
1517766,Soft green herb omelette,
2023169,"Tenderstem broccoli with soy sauce, garlic and peanuts",
455469,Toad in the hole,
398035,Very full tart,
1976658,Vignole with orzo and lime,Italy
398090,Warm glass noodles and edamame beans,
1354141,Aubergine cheesecake,
2113800,Baked orzo puttanesca,Italy
2110046,"Barley risotto with lemon, spinach and breadcrumbs",
398100,Castelluccio lentils with tomatoes and Gorgonzola,
25064,"Pasta with ham, peas and cream",
398059,Quesadillas,Mexico
398056,Quinoa and grilled sourdough salad,
1353956,Red onions with walnut salsa,
1866201,Roast loin of salmon with Aleppo pepper and fennel seeds,
1843942,Roasted squash with brown rice & halloumi,
2015408,"Sausage, beans & greens",Italy
1517879,Smoky beans and sweet potato hash browns,
398041,Smoky frittata,Italy
1354163,Batata harra,Lebanon
1354163,Batata harra,Syria
2023249,Brown rice with caramelised onions and black garlic,
377468,Caramel and macadamia cheesecake,
2121551,Courgette and chickpea 'meatballs' in tomato sauce,
2159892,Grand strawberry mousse cake,
929155,Lamb shawarma,Israel
2023215,Roasted baby carrots with harissa and pomegranate,
2023123,Tomatoes with sumac onions and pine nuts,
1855728,Apple and olive oil cake with maple frosting,
2138928,Asparagus and ricotta tart with black garlic,
1532452,Braised peas with mustard and vermouth,
1531896,Butternut and halloumi burgers,
398094,Chickpea sauté with Greek yoghurt,
377409,Couscous with dried apricots and butternut squash,Italy
1518286,Grilled avocado barley bowl,
398112,Itamar's bulghar pilaf,Israel
2023462,Mint and pistachio chocolate fridge cake,
2023464,No-churn raspberry ice cream,
2116542,One-pan pasta with harissa Bolognese,Italy
377463,Parmesan and poppy biscuits,
398117,Pasta and fried courgette salad,
2023242,"Pizza bianca with potato, anchovy and sage",
1353535,Spicy chickpea and bulgar soup,
398032,Tamara's ratatouille,France
1354182,Walnut and halva cake,Israel
1353959,Carrot and mung bean salad,
2023133,"Courgette, pea and basil soup",
398084,Mee goreng,Malaysia
2023241,New potatoes with peas and coriander,
1860611,Pea pastizzi,Israel
1860611,Pea pastizzi,Malta
2023408,Spring roast chicken with preserved lemon,
1715794,"Super greens cannelloni, creamy ricotta & basil sauce",
1354162,Taleggio and spinach roulade,
1862009,"Freekeh, tomato & chickpea pilaf",Israel
398080,Green gazpacho,Spain
2181440,Grilled tomatoes and onions with feta-harissa pine nuts,Israel
1860771,"Spiced green bean & tomato stew with labneh, harissa oil & scorched peanuts",Israel
1855623,Amaretti with honey and orange blossom,Italy
398062,Chard and saffron omelettes,
928891,Chermoula aubergine with bulgar & yoghurt,Israel
398097,"Chickpea, tomato and bread soup",Italy
929521,Chilli crab risotto,Italy
377477,Chocolate cupcakes,
398116,Crunchy pappardelle,
377393,"Fennel, cherry tomato and crumble gratin",Italy
2023421,"Fishcake tacos with mango, lime and cumin yoghurt",Mexico
398060,Herb-stuffed tomatoes,
2182806,Indian-style chip butty,India
929145,"Lamb meatballs with barberries, yoghurt & herbs",Israel
2180481,Masala stuffed peppers,India
929464,Muhallabieh,Israel
2180288,My cauliflower tikka masala,United Kingdom
2205324,"Pumpkin, bulgur wheat and raisin pie (Kolokythopita)",Cyprus
2180466,Reverse puff pastry pizza,
2206183,"Ricotta, honey and thyme ice cream",Cyprus
2182815,Roasted falafel pitta pockets,Israel
1354131,Root mash with wine braised shallots,
398007,Royal potato salad,
1034181,Satsuma and dark chocolate brioche,
398101,Socca,France
1353563,Stuffed courgettes,
2206188,Tahini cinnamon swirl with carob (Tahinopita me charoupi),Cyprus
929513,Tortelloni minestrone,Italy
2182825,Angry pasta fagioli,Italy
1343116,Bulgur and lentil salad,Turkey
929137,Chicken with caramelized onion & cardamom rice,Israel
2205924,Classic moussaka,Cyprus
398111,Freekeh pilaf,Israel
1855677,Lemon and semolina syrup cakes,Israel
398052,Lentils with grilled aubergine,
1715300,"Mango teriyaki salmon, brown rice & chilli cucumber pickle",Asia
25281,Pea risotto,
2181149,Pumpkin rice,
398042,Purple sprouting broccoli with rice noodles,
1855626,Soft date and oat bars,
2182828,Speedy egg-fried rice,Asia
2182831,Super spinach pancakes,
398008,Surprise Tatin,
929473,Tahini cookies,Israel
1343152,Tomatoes stuffed with bulgur & peppers stuffed with rice (Domates dolması ve biber dolması),Turkey
2185137,"Baked rice with green olives, orange, feta cheese & dill",
2180443,Bold black bean soup,
2023420,Coconut-crusted fish fingers,
1163735,Hungover noodles,
2023236,Oven chips with oregano and feta,
2205923,Pastitsio (Makaronia tou fournou),Cyprus
2185119,"Roasted squash & tofu with soy, honey, chili & ginger",
2023430,Rose harissa chickpeas with flaked cod,
2184664,Salsiccia con patate e pomodori al forno,Italy
1163723,Sicilian squash & chickpea stew,Italy
2205920,Spicy sausage and pepper stew (Spetsofai),Cyprus
2023232,Sweet potato mash with lime salsa,
2184661,"Baked sausages, apples, & blackberries with mustard & maple syrup",
592602,Butternut squash and caramelized onion galette,France
398110,Cardamom rice with poached eggs and yoghurt,
1861125,Chicken & turmeric vermicelli soup,Israel
1856091,"Chocolate tart with hazelnut, rosemary and orange",
284623,Pumpkin and goat's cheese lasagne,
929519,"Spaghetti with tuna, lemon & rocket",Italy
1855785,Tropical fruit cake,
2185139,Arroz con verduras,Spain
2182832,Brunch-style egg curry,India
2199859,Butternut squash and fondue pie with pickled red chiles,
2224082,Chocoflan,
1855676,"Flourless chocolate ""teacakes""",
1277048,Hellenic Republic’s Cypriot grain salad,Cyprus
2184999,"Roast corn, zucchini, & peppers with cumin, chili, sour cream & avocado",
2138868,"Roasted broccoli, chilli and ricotta cake [Helen Goh]",
2185108,Roasted Indian-spiced vegetables with lime-cilantro butter,India
2185125,"Salad of roasted carrots, apple & lentils with chili & preserved lemons",
2073536,Tah chin with chicken and spinach,France
2180303,Wonderful veg tagine,Morocco
2174562,Aubergine katsu curry with pickled radishes,Japan
2175137,Bunny chow,India
652094,Cannellini bean and leek soup with chilli oil,
1518595,Carrot cake flapjack bars,
652541,Carrot hummus,
2184668,"Cod with chorizo, tomatoes, olives & sherry",
2174589,"Egg fried rice with peppers, peas and chilli",Asia
2174559,Food court Singapore noodles,Singapore
377383,French beans and mangetout with hazelnut and orange,
1856147,Frozen espresso parfait for a crowd,
1511208,Fruity scones,
2207955,Golden turmeric challah with nigella seeds,Israel
651450,"Herby, peanutty, noodly salad",
2174812,"Honey, soy and ginger braised tofu",South Korea
929543,Italian traybake,Italy
2175130,Korean egg bread,South Korea
398024,Mushroom lasagne,Italy
2174577,"New potato, chard and coconut curry",India
651254,North African squash and chickpea stew,Morocco
2174603,Piccalilli spiced rice,
651964,Porotos granados,Chile
2159391,Posh granola bars,
